Row ID,Order ID,Product ID,Ship Date,Ship Mode,Customer ID,Order Date,Order_Data_year,Order_Data_month,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,unitprice,Promotion name
7981,CA-2014-103800,OFF-PA-10000174,2014.1.7,Standard Class,DP-13000,2019.1.3,"2,019",1,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",21280,2,20%,13300,월간 정기 쿠폰
740,CA-2014-112326,OFF-LA-10003223,2014.1.8,Standard Class,PO-19195,2019.1.4,"2,019",1,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Office Supplies,Labels,Avery 508,15120,3,20%,6300,월간 정기 쿠폰
741,CA-2014-112326,OFF-ST-10002743,2014.1.8,Standard Class,PO-19195,2019.1.4,"2,019",1,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,354480,3,20%,147700,월간 정기 쿠폰
742,CA-2014-112326,OFF-BI-10004094,2014.1.8,Standard Class,PO-19195,2019.1.4,"2,019",1,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4600,2,80%,11500,VIP쿠폰
1760,CA-2014-141817,OFF-AR-10003478,2014.1.12,Standard Class,MB-18085,2019.1.5,"2,019",1,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",25200,3,20%,10500,월간 정기 쿠폰
5328,CA-2014-130813,OFF-PA-10002005,2014.1.8,Second Class,LS-17230,2019.1.6,"2,019",1,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,Xerox 225,25200,3,0%,8400,
7181,CA-2014-106054,OFF-AR-10002399,2014.1.7,First Class,JO-15145,2019.1.6,"2,019",1,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",16500,3,0%,5500,
7475,CA-2014-167199,FUR-CH-10004063,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3345300,9,0%,371700,
7476,CA-2014-167199,OFF-BI-10004632,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,792800,2,0%,396400,
7477,CA-2014-167199,OFF-AR-10001662,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,7000,2,0%,3500,
7478,CA-2014-167199,TEC-PH-10004977,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,GE 30524EE4,509400,2,0%,254700,
7479,CA-2014-167199,TEC-PH-10004539,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,982400,4,0%,245600,
7480,CA-2014-167199,OFF-FA-10001883,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",40400,4,0%,10100,
7481,CA-2014-167199,OFF-PA-10000955,2014.1.10,Standard Class,ME-17320,2019.1.6,"2,019",1,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,8500,1,0%,8500,
7661,CA-2014-105417,FUR-FU-10004864,2014.1.12,Standard Class,VS-21820,2019.1.7,"2,019",1,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",99720,3,60%,83100,VIP쿠폰
7662,CA-2014-105417,OFF-BI-10003708,2014.1.12,Standard Class,VS-21820,2019.1.7,"2,019",1,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",13440,7,80%,9600,VIP쿠폰
593,CA-2014-135405,OFF-AR-10004078,2014.1.13,Standard Class,MS-17830,2019.1.9,"2,019",1,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Art,Newell 312,12000,2,20%,7500,월간 정기 쿠폰
594,CA-2014-135405,TEC-AC-10001266,2014.1.13,Standard Class,MS-17830,2019.1.9,"2,019",1,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,40560,3,20%,16900,월간 정기 쿠폰
866,CA-2014-149020,OFF-LA-10004272,2014.1.15,Standard Class,AJ-10780,2019.1.10,"2,019",1,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Labels,Avery 482,3700,1,0%,3700,
867,CA-2014-149020,FUR-FU-10000965,2014.1.15,Standard Class,AJ-10780,2019.1.10,"2,019",1,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",67500,1,0%,67500,
717,CA-2014-130092,FUR-FU-10000010,2014.1.14,First Class,SV-20365,2019.1.11,"2,019",1,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",12800,2,0%,6400,
764,CA-2014-162775,OFF-EN-10001990,2014.1.15,Second Class,CS-12250,2019.1.13,"2,019",1,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Envelopes,Staple envelope,14600,2,0%,7300,
765,CA-2014-162775,OFF-EN-10001532,2014.1.15,Second Class,CS-12250,2019.1.13,"2,019",1,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,66000,3,0%,22000,
